Delivery Date,Hour Ending,Repeated Hour Flag,Settlement Point,Settlement Point Price
02/02/2020,08:00,N,HB_SOUTH,17.65
02/02/2020,08:00,N,HB_WEST,15.25
02/02/2020,08:00,N,LZ_AEN,18.22
02/02/2020,08:00,N,LZ_CPS,18.39
02/02/2020,08:00,N,LZ_HOUSTON,17.68
02/02/2020,08:00,N,LZ_LCRA,17.80
02/02/2020,08:00,N,LZ_NORTH,17.89
02/02/2020,08:00,N,LZ_RAYBN,18.55
02/02/2020,08:00,N,LZ_SOUTH,18.54
02/02/2020,08:00,N,LZ_WEST,31.58
02/02/2020,09:00,N,HB_BUSAVG,16.06
02/02/2020,09:00,N,HB_HOUSTON,16.11
02/02/2020,09:00,N,HB_HUBAVG,15.95
02/02/2020,09:00,N,HB_NORTH,16.08
02/02/2020,09:00,N,HB_PAN,14.88
02/02/2020,09:00,N,HB_SOUTH,16.48
02/02/2020,09:00,N,HB_WEST,15.14
02/02/2020,09:00,N,LZ_AEN,16.52
02/02/2020,09:00,N,LZ_CPS,17.12
02/02/2020,09:00,N,LZ_HOUSTON,16.10
02/02/2020,09:00,N,LZ_LCRA,16.58
02/02/2020,09:00,N,LZ_NORTH,16.19
02/02/2020,09:00,N,LZ_RAYBN,16.28
02/02/2020,09:00,N,LZ_SOUTH,17.24
02/02/2020,09:00,N,LZ_WEST,20.15
02/02/2020,10:00,N,HB_BUSAVG,15.39
02/02/2020,10:00,N,HB_HOUSTON,15.36
02/02/2020,10:00,N,HB_HUBAVG,15.34
02/02/2020,10:00,N,HB_NORTH,15.36
02/02/2020,10:00,N,HB_PAN,14.86
02/02/2020,10:00,N,HB_SOUTH,15.77
02/02/2020,10:00,N,HB_WEST,14.86
02/02/2020,10:00,N,LZ_AEN,15.97
02/02/2020,10:00,N,LZ_CPS,16.25
02/02/2020,10:00,N,LZ_HOUSTON,15.36
02/02/2020,10:00,N,LZ_LCRA,15.78
02/02/2020,10:00,N,LZ_NORTH,15.49
02/02/2020,10:00,N,LZ_RAYBN,15.42
02/02/2020,10:00,N,LZ_SOUTH,16.87
02/02/2020,10:00,N,LZ_WEST,16.60
02/02/2020,11:00,N,HB_BUSAVG,14.26
02/02/2020,11:00,N,HB_HOUSTON,14.23
02/02/2020,11:00,N,HB_HUBAVG,14.21
02/02/2020,11:00,N,HB_NORTH,14.20
02/02/2020,11:00,N,HB_PAN,14
02/02/2020,11:00,N,HB_SOUTH,14.73
02/02/2020,11:00,N,HB_WEST,13.68
02/02/2020,11:00,N,LZ_AEN,15.01
02/02/2020,11:00,N,LZ_CPS,15.17
02/02/2020,11:00,N,LZ_HOUSTON,14.23
02/02/2020,11:00,N,LZ_LCRA,14.77
02/02/2020,11:00,N,LZ_NORTH,14.27
02/02/2020,11:00,N,LZ_RAYBN,14.22
02/02/2020,11:00,N,LZ_SOUTH,15.87
02/02/2020,11:00,N,LZ_WEST,14.84
02/02/2020,12:00,N,HB_BUSAVG,13.20
02/02/2020,12:00,N,HB_HOUSTON,13.16
02/02/2020,12:00,N,HB_HUBAVG,13.15
02/02/2020,12:00,N,HB_NORTH,13.07
02/02/2020,12:00,N,HB_PAN,12.66
